domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,29,1,3885.0,2318.0,562.0,596.0,596.0,327.0,1.0,326.0,2.0,325.0,443.0,0.5,false
VacuumRobot,29,2,8105.0,5003.0,4008.0,538.0,538.0,77.0,421.0,76.0,400.0,87.0,443.0,0.5,false
VacuumRobot,29,3,2330.0,1352.0,1053.0,502.0,502.0,110.0,331.0,111.0,332.0,110.0,443.0,0.5,false
VacuumRobot,29,4,14273.0,8471.0,7095.0,466.0,466.0,299.0,39.0,298.0,40.0,297.0,443.0,0.5,false
VacuumRobot,29,5,1344.0,750.0,529.0,454.0,454.0,61.0,370.0,60.0,371.0,59.0,443.0,0.5,false
VacuumRobot,29,6,6495.0,3741.0,1443.0,446.0,446.0,146.0,2.0,327.0,3.0,326.0,443.0,0.5,false
VacuumRobot,29,7,19015.0,11288.0,244.0,443.0,443.0,325.0,34.0,325.0,43.0,318.0,443.0,0.5,false
VacuumRobot,30,1,6368.0,3754.0,1086.0,773.0,773.0,457.0,1.0,456.0,2.0,455.0,609.0,0.5,false
VacuumRobot,30,2,21599.0,12753.0,10241.0,653.0,653.0,214.0,318.0,213.0,308.0,219.0,609.0,0.5,false
VacuumRobot,30,3,21067.0,12400.0,10037.0,625.0,625.0,123.0,463.0,120.0,464.0,119.0,609.0,0.5,false
VacuumRobot,30,4,58944.0,34526.0,29957.0,613.0,613.0,245.0,295.0,236.0,280.0,247.0,609.0,0.5,false
VacuumRobot,30,5,4801.0,2840.0,108.0,609.0,609.0,23.0,10.0,463.0,27.0,450.0,609.0,0.5,false
VacuumRobot,31,1,3190.0,1901.0,203.0,495.0,495.0,260.0,1.0,259.0,2.0,258.0,415.0,0.5,false
VacuumRobot,31,2,12830.0,7572.0,5085.0,425.0,425.0,187.0,94.0,188.0,97.0,187.0,415.0,0.5,false
VacuumRobot,31,3,25164.0,14626.0,2501.0,417.0,417.0,263.0,4.0,264.0,9.0,261.0,415.0,0.5,false
VacuumRobot,31,4,27511.0,16531.0,169.0,415.0,415.0,12.0,402.0,11.0,400.0,13.0,415.0,0.5,false
VacuumRobot,32,1,40502.0,24064.0,12651.0,704.0,704.0,297.0,1.0,296.0,2.0,295.0,442.0,0.5,true
VacuumRobot,32,2,3550.0,2043.0,1111.0,462.0,462.0,306.0,9.0,306.0,10.0,305.0,442.0,0.5,false
VacuumRobot,32,3,3252.0,1858.0,487.0,454.0,454.0,134.0,264.0,134.0,262.0,136.0,442.0,0.5,false
VacuumRobot,32,4,8638.0,4960.0,4301.0,446.0,446.0,323.0,405.0,37.0,406.0,36.0,442.0,0.5,false
VacuumRobot,32,5,9486.0,5631.0,567.0,444.0,444.0,37.0,398.0,36.0,399.0,35.0,442.0,0.5,false
VacuumRobot,32,6,15854.0,9291.0,855.0,442.0,442.0,336.0,49.0,336.0,42.0,342.0,442.0,0.5,false
VacuumRobot,33,1,4103.0,2304.0,471.0,694.0,694.0,391.0,1.0,390.0,2.0,389.0,544.0,0.5,false
VacuumRobot,33,2,6868.0,3960.0,2610.0,616.0,616.0,117.0,476.0,116.0,473.0,119.0,544.0,0.5,false
VacuumRobot,33,3,1384.0,756.0,376.0,590.0,590.0,131.0,384.0,130.0,385.0,129.0,544.0,0.5,false
VacuumRobot,33,4,8561.0,4916.0,4259.0,570.0,570.0,208.0,270.0,208.0,264.0,212.0,544.0,0.5,false
