InstanceID,h,opt
17,22.0,74.0,
17,23.0,43.0,
17,24.0,69.0,
17,25.0,80.0,
17,26.0,65.0,
17,27.0,66.0,
17,28.0,68.0,
17,29.0,70.0,
17,30.0,70.0,
17,31.0,83.0,
17,32.0,84.0,
17,33.0,85.0,
17,34.0,81.0,
17,35.0,80.0,
17,36.0,88.0,
17,37.0,94.0,
17,38.0,95.0,
17,39.0,96.0,
17,40.0,100.0,
17,41.0,104.0,
17,42.0,98.0,
17,44.0,86.0,
17,47.0,104.0,
18,1.0,1.0,
18,2.0,15.0,
18,4.0,13.0,
18,5.0,18.0,
18,7.0,19.0,
18,8.0,20.0,
18,9.0,53.0,
18,10.0,28.0,
18,11.0,34.0,
18,12.0,29.0,
18,13.0,35.0,
18,14.0,32.0,
18,15.0,27.0,
18,16.0,34.0,
18,17.0,35.0,
18,18.0,67.0,
18,19.0,67.0,
18,20.0,27.0,
18,21.0,52.0,
18,22.0,65.0,
18,23.0,53.0,
18,24.0,62.0,
18,25.0,74.0,
18,26.0,61.0,
18,27.0,61.0,
18,28.0,78.0,
18,29.0,109.0,
18,30.0,99.0,
18,31.0,71.0,
18,32.0,71.0,
18,33.0,89.0,
18,34.0,86.0,
18,35.0,85.0,
18,36.0,88.0,
18,37.0,71.0,
18,38.0,91.0,
18,39.0,70.0,
18,40.0,91.0,
18,41.0,98.0,
18,42.0,74.0,
18,43.0,95.0,
18,44.0,98.0,
18,45.0,99.0,
18,46.0,107.0,
18,47.0,132.0,
18,48.0,103.0,
18,49.0,101.0,
18,50.0,141.0,
18,51.0,143.0,
18,52.0,137.0,
18,53.0,138.0,
18,54.0,145.0,
18,55.0,146.0,
19,1.0,1.0,
19,2.0,14.0,
19,4.0,13.0,
19,5.0,11.0,
19,7.0,12.0,
19,8.0,16.0,
19,9.0,20.0,
19,10.0,17.0,
19,11.0,19.0,
19,12.0,32.0,
19,13.0,26.0,
19,14.0,33.0,
19,15.0,36.0,
19,16.0,58.0,
19,17.0,37.0,
19,18.0,55.0,
19,19.0,60.0,
19,20.0,46.0,
19,21.0,40.0,
